         187737016 function calls (186985993 primitive calls) in 30.155 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.017    0.008    0.163    0.082 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/propagation_rank_funcs.py:6(_assign_propagation_ranks)
   308032    0.155    0.000    0.158    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/links/customer_provider_link.py:7(__init__)
  2517276    0.154    0.000    0.154    0.000 {built-in function _weakref.proxy}
   256796    0.038    0.000    0.146    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:197(<genexpr>)
592044/152024    0.145    0.000    0.145    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/propagation_rank_funcs.py:13(_assign_ranks_helper)
   786898    0.103    0.000    0.126    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/base_as.py:105(multihomed)
  1182856    0.126    0.000    0.126    0.000 {method 'split' of 'str' objects}
   874572    0.116    0.000    0.124    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/links/peer_link.py:7(__init__)
      240    0.123    0.001    0.123    0.001 {method 'difference' of 'frozenset' objects}
1338357/1335566    0.111    0.000    0.114    0.000 {built-in function hash}
        4    0.042    0.010    0.114    0.028 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:193(multihomed_no_ixp_filter)
  1182638    0.113    0.000    0.113    0.000 {method 'extend' of 'list' objects}
       60    0.112    0.002    0.112    0.002 /home/anon/work/bgpy_pkg/bgpy/simulation_engines/cpp_simulation_engine/cpp_simulation_engine.py:80(<dictcomp>)
   152068    0.042    0.000    0.102    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/graph_building_funcs.py:21(_gen_as)
       60    0.087    0.001    0.090    0.002 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:102(_get_attacker_asns)
        2    0.005    0.002    0.087    0.044 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/propagation_rank_funcs.py:24(_get_propagation_ranks)
  7449274    0.083    0.000    0.083    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:253(__getitem__)
   145888    0.023    0.000    0.070    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:194(<genexpr>)
        2    0.034    0.017    0.069    0.034 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/propagation_rank_funcs.py:36(<listcomp>)
       60    0.000    0.000    0.063    0.001 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:223(_get_possible_victim_asns)
  2716266    0.050    0.000    0.050    0.000 {method 'getrandbits' of 'Random' objects}
   152068    0.007    0.000    0.049    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/base_as.py:14(__init__)
  3120016    0.039    0.000    0.039    0.000 {built-in function len}
  1232128    0.039    0.000    0.039    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/links/customer_provider_link.py:26(provider_asn)
  1358852    0.038    0.000    0.038    0.000 {method 'append' of 'list' objects}
  3230096    0.035    0.000    0.035    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/base_as.py:59(__hash__)
   152946    0.033    0.000    0.035    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/base_as.py:47(__lt__)
     5320    0.013    0.000    0.034    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/codecs.py:319(decode)
        4    0.026    0.007    0.032    0.008 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:211(all_no_ixp_filter)
  3548888    0.030    0.000    0.030    0.000 {method 'startswith' of 'str' objects}
      180    0.005    0.000    0.026    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/metric_tracker/metric.py:54(save_percents)
       60    0.024    0.000    0.024    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/cpp_simulation_framework/cpp_as_graph_analyzer.py:15(__init__)
     5320    0.021    0.000    0.021    0.000 {built-in function _codecs.utf_8_decode}
       60    0.003    0.000    0.017    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:415(_get_ordered_prefix_subprefix_dict)
  1976390    0.015    0.000    0.015    0.000 {method 'bit_length' of 'int' objects}
  1232128    0.014    0.000    0.014    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/links/customer_provider_link.py:20(customer_asn)
   456072    0.013    0.000    0.013    0.000 {built-in function delattr}
   458232    0.013    0.000    0.013    0.000 {built-in function getattr}
       60    0.010    0.000    0.012    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/hijack_scenarios/subprefix_hijack.py:24(_get_announcements)
   456072    0.011    0.000    0.011    0.000 {built-in function setattr}
      540    0.007    0.000    0.011    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/dataclasses.py:1405(replace)
  1182604    0.011    0.000    0.011    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/links/link.py:9(__init__)
       71    0.001    0.000    0.011    0.000 /home/anon/work/pypy_env/lib/pypy3.10/site-packages/frozendict/core.py:30(__new__)
   152068    0.006    0.000    0.010    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_engines/py_simulation_engine/policies/bgp/bgp_simple_policy/bgp_simple_policy.py:45(__init__)
       71    0.009    0.000    0.009    0.000 {method '__init__' of 'frozendict' objects}
        4    0.000    0.000    0.009    0.002 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:187(ixp_filter)
      116    0.005    0.000    0.009    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:188(<genexpr>)
        2    0.004    0.002    0.008    0.004 {built-in function max}
      134    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:1117(__import__)
      268    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
      234    0.000    0.000    0.007    0.000 <string>:2(__hash__)
        4    0.000    0.000    0.007    0.002 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:201(input_clique_no_ixp_filter)
      268    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:1022(_find_and_load)
       80    0.004    0.000    0.007    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:202(<genexpr>)
   432458    0.006    0.000    0.006    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:175(<genexpr>)
       60    0.000    0.000    0.006    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:426(<listcomp>)
   155220    0.003    0.000    0.005    0.000 {built-in function isinstance}
      120    0.000    0.000    0.005    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:57(ip_network)
      120    0.001    0.000    0.005    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:1465(__init__)
   152026    0.003    0.000    0.005    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/propagation_rank_funcs.py:27(<genexpr>)
   153106    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
       60    0.001    0.000    0.004    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/metric_tracker/metric_tracker.py:207(<listcomp>)
      360    0.001    0.000    0.003    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:1272(__init__)
      842    0.002    0.000    0.003    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/encodings/utf_8.py:19(encode)
      268    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
      120    0.000    0.000    0.003    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:432(<lambda>)
      180    0.002    0.000    0.003    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/metric_tracker/metric.py:16(__init__)
      120    0.000    0.000    0.003    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:779(num_addresses)
  242/122    0.001    0.000    0.003    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/functools.py:971(__get__)
     2322    0.002    0.000    0.003    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/enum.py:789(__hash__)
        2    0.000    0.000    0.003    0.001 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:120(_seed_random)
        2    0.000    0.000    0.003    0.001 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/random.py:128(seed)
      300    0.003    0.000    0.003    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/abc.py:117(__instancecheck__)
      134    0.001    0.000    0.002    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_pypy_generic_alias.py:16(__new__)
        2    0.000    0.000    0.002    0.001 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:258(digest)
        2    0.000    0.000    0.002    0.001 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:194(sha_final)
      240    0.002    0.000    0.002    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:366(_preset_asns)
      120    0.001    0.000    0.002    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:1173(_ip_int_from_string)
        2    0.000    0.000    0.002    0.001 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:29(sha_transform)
   152068    0.002    0.000    0.002    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_engines/py_simulation_engine/ann_containers/local_rib.py:14(__init__)
      536    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
   152068    0.002    0.000    0.002    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_engines/py_simulation_engine/ann_containers/recv_queue.py:15(__init__)
      180    0.001    0.000    0.002    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:682(__str__)
      240    0.000    0.000    0.002    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:1047(subnet_of)
      122    0.001    0.000    0.002    0.000 {method 'from_bytes' of 'type' objects}
      268    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      120    0.000    0.000    0.002    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:758(broadcast_address)
